[Model: LSTM, Weight Tying Optimizer: SGD, Hidden-size: 250, Embedding-size: 250, Learning-rate: 1]
[Epoch: 1, PPL: 703.1796, Best PPL: 703.1796]
[Epoch: 2, PPL: 543.5664, Best PPL: 543.5664]
[Epoch: 3, PPL: 477.7154, Best PPL: 477.7154]
[Epoch: 4, PPL: 433.5897, Best PPL: 433.5897]
[Epoch: 5, PPL: 400.4434, Best PPL: 400.4434]
[Epoch: 6, PPL: 379.8436, Best PPL: 379.8436]
[Epoch: 7, PPL: 369.9490, Best PPL: 369.9490]
[Epoch: 8, PPL: 350.9055, Best PPL: 350.9055]
[Epoch: 9, PPL: 356.7482, Best PPL: 350.9055]
[Epoch: 10, PPL: 340.0143, Best PPL: 340.0143]
[Epoch: 11, PPL: 333.1296, Best PPL: 333.1296]
[Epoch: 12, PPL: 320.6890, Best PPL: 320.6890]
[Epoch: 13, PPL: 322.6408, Best PPL: 320.6890]
[Epoch: 14, PPL: 318.5260, Best PPL: 318.5260]
[Epoch: 15, PPL: 305.0578, Best PPL: 305.0578]
[Epoch: 16, PPL: 303.4302, Best PPL: 303.4302]
[Epoch: 17, PPL: 315.0601, Best PPL: 303.4302]
[Epoch: 18, PPL: 294.2679, Best PPL: 294.2679]
[Epoch: 19, PPL: 290.6672, Best PPL: 290.6672]
[Epoch: 20, PPL: 291.2294, Best PPL: 290.6672]
[Epoch: 21, PPL: 289.3703, Best PPL: 289.3703]
[Epoch: 22, PPL: 283.2587, Best PPL: 283.2587]
[Epoch: 23, PPL: 282.1442, Best PPL: 282.1442]
[Epoch: 24, PPL: 281.3970, Best PPL: 281.3970]
[Epoch: 25, PPL: 278.1582, Best PPL: 278.1582]
[Epoch: 26, PPL: 280.3954, Best PPL: 278.1582]
[Epoch: 27, PPL: 277.4043, Best PPL: 277.4043]
[Epoch: 28, PPL: 274.6578, Best PPL: 274.6578]
[Epoch: 29, PPL: 276.3500, Best PPL: 274.6578]
[Epoch: 30, PPL: 271.6338, Best PPL: 271.6338]
[Epoch: 31, PPL: 273.1307, Best PPL: 271.6338]
[Epoch: 32, PPL: 271.6786, Best PPL: 271.6338]
[Epoch: 33, PPL: 269.1390, Best PPL: 269.1390]
[Epoch: 34, PPL: 270.0847, Best PPL: 269.1390]
[Epoch: 35, PPL: 265.6680, Best PPL: 265.6680]
[Epoch: 36, PPL: 267.0084, Best PPL: 265.6680]
[Epoch: 37, PPL: 266.3254, Best PPL: 265.6680]
[Epoch: 38, PPL: 262.0230, Best PPL: 262.0230]
[Epoch: 39, PPL: 264.9266, Best PPL: 262.0230]
[Epoch: 40, PPL: 263.2388, Best PPL: 262.0230]
[Epoch: 41, PPL: 261.1428, Best PPL: 261.1428]
[Epoch: 42, PPL: 261.3412, Best PPL: 261.1428]
[Epoch: 43, PPL: 262.4472, Best PPL: 261.1428]
[Epoch: 44, PPL: 260.0683, Best PPL: 260.0683]
[Epoch: 45, PPL: 259.8878, Best PPL: 259.8878]
[Epoch: 46, PPL: 264.7640, Best PPL: 259.8878]
[Epoch: 47, PPL: 260.7820, Best PPL: 259.8878]
[Epoch: 48, PPL: 259.1157, Best PPL: 259.1157]
[Epoch: 49, PPL: 259.3743, Best PPL: 259.1157]
[Epoch: 50, PPL: 261.6104, Best PPL: 259.1157]
[Epoch: 51, PPL: 261.4437, Best PPL: 259.1157]
[Epoch: 52, PPL: 259.6595, Best PPL: 259.1157]
[Epoch: 53, PPL: 267.3260, Best PPL: 259.1157]
[Final PPL: 247.9832]
